conteo,month,name,fecha,plantipo,scope,Tipo Plan,trial,type,coleid,alias,movimiento
1,202407,Carba,2024-07-16 19:26:18.0,anual,Privado,Gratuito,Trial,Colegio,200001846,Plan Gratuito,Altas
1,202404,Sierra Nevada Interlomas,2024-04-09 21:57:22.0,anual,Privado,Gratuito,Trial,Colegio,200003483,Plan Gratuito,Altas
1,202403,Bildung,2024-03-09 16:36:55.0,anual,Privado,Gratuito,Trial,Colegio,200003634,Plan Gratuito,Altas
1,202403,Viksol,2024-03-22 15:13:43.0,anual,Privado,Gratuito,Trial,Colegio,200004494,Plan Gratuito,Altas
1,202404,Kindergym Metepec,2024-04-09 20:51:31.0,anual,Privado,Gratuito,Cliente,Preescolar,200004541,Plan Gratuito,Altas
1,202401,Cumbres International School México,2024-01-22 19:45:50.0,anual,Privado,Gratuito,Trial,Colegio,200004701,Plan Gratuito,Altas
1,202405,"British American School ",2024-05-21 22:15:32.0,anual,Privado,Gratuito,Trial,Colegio,200005049,Plan Gratuito,Altas
1,202407,Kindergym Aragón,2024-07-02 19:04:20.0,anual,Privado,Gratuito,Trial,Preescolar,200005245,Plan Gratuito,Altas
1,202404,Villa Victoria,2024-04-08 21:04:27.0,anual,Privado,Gratuito,Trial,Colegio,200005249,Plan Gratuito,Altas
1,202311,Escuela Valle de Bravo,2023-11-17 19:48:11.0,anual,Privado,Gratuito,Trial,Colegio,200009669,Plan Gratuito,Altas
1,202401,El Rosario,2024-01-10 03:50:01.0,anual,Privado,Gratuito,Trial,Preescolar,200010381,Plan Gratuito,Altas
1,202404,Alonso Manuel Escalante Y Escalante,2024-04-11 04:43:46.0,anual,Privado,Gratuito,Trial,Colegio,200018374,Plan Gratuito,Altas
1,202406,"The American School Foundation of Guadalajara, A.C.",2024-06-12 21:19:42.0,anual,Privado,Gratuito,Trial,Colegio,200019637,Plan Gratuito,Altas
1,202309,Salesiano Anahuac Garibaldi,2023-09-14 15:46:30.0,anual,Privado,Gratuito,Trial,Colegio,200019995,Plan Gratuito,Altas
1,202402,Anglo Español,2024-02-22 19:59:28.0,anual,Privado,Gratuito,Trial,Colegio,200020743,Plan Gratuito,Altas
1,202406,Anrod School,2024-06-05 21:16:35.0,anual,Privado,Gratuito,Trial,Colegio,200020840,Plan Gratuito,Altas
1,202404,Sara Alarcon,2024-04-11 23:01:35.0,anual,Privado,Gratuito,Trial,Colegio,200024038,Plan Gratuito,Altas
1,202408,Campogrande,2024-08-19 16:37:44.0,anual,Privado,Gratuito,Trial,Colegio,200029953,Plan Gratuito,Altas
1,202404,Atenas,2024-04-14 06:18:24.0,anual,Privado,Gratuito,Trial,Instituto,200030467,Plan Gratuito,Altas
1,202404,Cedros International School,2024-04-29 16:53:48.0,anual,Privado,Gratuito,Trial,Colegio,200031139,Plan Gratuito,Altas
1,202408,Jean Piaget Poza Rica  - Secundaria y Bachillerato,2024-08-07 00:11:36.0,anual,Privado,Gratuito,Trial,Colegio,200031701,Plan Gratuito,Altas
1,202402,Centro De Desarrollo Integral Mundo Creativo,2024-02-26 12:55:00.0,anual,Privado,Gratuito,Trial,Colegio,200032333,Plan Gratuito,Altas
1,202402,"CENTRO | Diseño, Cine y Televisión",2024-02-15 20:56:02.0,anual,Privado,Gratuito,Trial,Instituto,200032373,Plan Gratuito,Altas
-1,202406,Centro De Estudios De Posgrado En Ortodoncia Valle De Anahuac,2024-06-12 04:39:02.0,anual,Privado,Gratuito,Cliente,Instituto,200032838,Plan Gratuito,Bajas
1,202401,Centro De Estudios De Posgrado En Ortodoncia Valle De Anahuac,2024-01-11 18:20:04.0,anual,Privado,Gratuito,Cliente,Instituto,200032838,Plan Gratuito,Altas
1,202408,Centro De Estudios De Posgrado En Ortodoncia Valle De Anahuac,2024-08-12 23:26:35.0,anual,Privado,Gratuito,Cliente,Instituto,200032838,Plan Gratuito,Altas
1,202401,Centro de Estudios Superiores Monte Fénix,2024-01-06 23:16:24.0,anual,Privado,Gratuito,Trial,Instituto,200033254,Plan Gratuito,Altas
1,202408,Camponuevo Salamanca,2024-08-30 14:42:41.0,anual,Privado,Gratuito,Trial,Colegio,200034066,Plan Gratuito,Altas
1,202404,Saint Patrick´s,2024-04-16 17:00:41.0,anual,Privado,Gratuito,Trial,Colegio,200034600,Plan Gratuito,Altas
1,202407,Siembra,2024-07-02 20:33:15.0,anual,Privado,Gratuito,Trial,Preescolar,200035280,Plan Gratuito,Altas
1,202311,Paseo,2023-11-13 21:02:40.0,anual,Privado,Gratuito,Trial,Colegio,200035585,Plan Gratuito,Altas
1,202310,El Encino,2023-10-17 18:57:24.0,anual,Privado,Gratuito,Trial,Colegio,200035605,Plan Gratuito,Altas
-1,202403,"Marisol Kipling A.C. ",2024-03-13 00:38:33.0,anual,Privado,Gratuito,Cliente,Preescolar,200035699,Plan Gratuito,Bajas
1,202403,"Marisol Kipling A.C. ",2024-03-13 00:35:18.0,anual,Privado,Gratuito,Cliente,Preescolar,200035699,Plan Gratuito,Altas
1,202401,"Centro Freinet Prometeo, S.c.",2024-01-04 20:03:34.0,anual,Privado,Gratuito,Trial,Colegio,200035881,Plan Gratuito,Altas
1,202401,Charles Chaplin,2024-01-11 22:22:20.0,anual,Privado,Gratuito,Trial,Colegio,200036844,Plan Gratuito,Altas
1,202401,Americano De Torreón,2024-01-20 02:04:13.0,anual,Privado,Gratuito,Trial,Colegio,200037536,Plan Gratuito,Altas
1,202405,JSS,2024-05-15 01:56:15.0,anual,Privado,Gratuito,Trial,Colegio,200037597,Plan Gratuito,Altas
1,202401,Atenogenes Silva,2024-01-19 16:40:17.0,anual,Privado,Gratuito,Trial,Colegio,200037876,Plan Gratuito,Altas
-1,202403,Celta Internacional,2024-03-13 16:43:52.0,anual,Privado,Gratuito,Cliente,Colegio,200038712,Plan Gratuito,Bajas
1,202402,Celta Internacional,2024-02-06 19:10:24.0,anual,Privado,Gratuito,Cliente,Colegio,200038712,Plan Gratuito,Altas
1,202401,Ciudad De México plantel Contadero,2024-01-09 15:23:38.0,anual,Privado,Gratuito,Trial,Colegio,200038845,Plan Gratuito,Altas
1,202406,Cuernavaca,2024-06-05 06:05:50.0,anual,Privado,Gratuito,Trial,Colegio,200039007,Plan Gratuito,Altas
1,202402,Excelsior,2024-02-18 02:32:24.0,anual,Privado,Gratuito,Trial,Colegio,200040181,Plan Gratuito,Altas
1,202404,Curie,2024-04-25 16:25:41.0,anual,Privado,Gratuito,Trial,Colegio,200040476,Plan Gratuito,Altas
1,202408,Hispania,2024-08-27 17:35:13.0,anual,Privado,Gratuito,Trial,Colegio,200040918,Plan Gratuito,Altas
1,202312,Integral Leonardo da Vinci,2023-12-13 00:40:56.0,anual,Privado,Gratuito,Trial,Colegio,200041295,Plan Gratuito,Altas
1,202408,Inter Canadiense De Puebla,2024-08-15 17:47:51.0,anual,Privado,Gratuito,Trial,Colegio,200041305,Plan Gratuito,Altas
1,202403,La Salle y Francisco G. Sada,2024-03-19 21:37:21.0,anual,Privado,Gratuito,Trial,Colegio,200042034,Plan Gratuito,Altas
1,202402,Las Americas De Xalapa,2024-02-29 17:44:16.0,anual,Privado,Gratuito,Trial,Colegio,200042134,Plan Gratuito,Altas
1,202402,Mi Mundo Montessori De Tepepan,2024-02-07 17:40:20.0,anual,Privado,Gratuito,Trial,Colegio,200043008,Plan Gratuito,Altas
1,202310,Miguel Angel De Queretaro,2023-10-11 16:52:50.0,anual,Privado,Gratuito,Trial,Colegio,200043032,Plan Gratuito,Altas
1,202403,Monclair,2024-03-21 03:58:12.0,anual,Privado,Gratuito,Trial,Colegio,200043196,Plan Gratuito,Altas
1,202402,Monte Rosa,2024-02-13 18:23:19.0,anual,Privado,Gratuito,Trial,Colegio,200043230,Plan Gratuito,Altas
1,202408,"Nuestro Mundo, S.c.",2024-08-17 02:58:32.0,anual,Privado,Gratuito,Trial,Colegio,200043641,Plan Gratuito,Altas
1,202311,Pearson,2023-11-15 17:30:32.0,anual,Privado,Gratuito,Trial,Colegio,200044000,Plan Gratuito,Altas
1,202405,"Global Academy ",2024-05-27 20:35:40.0,anual,Privado,Gratuito,Trial,Colegio,200044379,Plan Gratuito,Altas
1,202405,Reims,2024-05-06 19:30:48.0,anual,Privado,Gratuito,Cliente,Colegio,200044443,Plan Gratuito,Altas
1,202402,San Agustín de la Laguna,2024-02-07 15:36:12.0,anual,Privado,Gratuito,Trial,Colegio,200044668,Plan Gratuito,Altas
1,202405,Tajin,2024-05-03 19:14:14.0,anual,Privado,Gratuito,Trial,Colegio,200045125,Plan Gratuito,Altas
-1,202403,Instituto Thomas Jefferson Guadalajara - Palomar,2024-03-21 22:19:12.0,anual,Privado,Gratuito,Cliente,Colegio,200045261,Plan Gratuito,Bajas
1,202402,Instituto Thomas Jefferson Guadalajara - Palomar,2024-02-29 21:38:29.0,anual,Privado,Gratuito,Cliente,Colegio,200045261,Plan Gratuito,Altas
-1,202405,Winpenny School,2024-05-29 17:17:13.0,anual,Privado,Gratuito,Cliente,Colegio,200045747,Plan Gratuito,Bajas
1,202405,Winpenny School,2024-05-14 16:42:17.0,anual,Privado,Gratuito,Cliente,Colegio,200045747,Plan Gratuito,Altas
1,202312,Comunidad De Aprendizaje Iuventus,2023-12-04 20:56:51.0,anual,Privado,Gratuito,Trial,Colegio,200046027,Plan Gratuito,Altas
1,202402,"Instituto Tepeyac Campus ",2024-02-28 15:56:11.0,anual,Privado,Gratuito,Trial,Colegio,200047162,Plan Gratuito,Altas
1,202408,Valencia,2024-08-16 18:03:34.0,anual,Privado,Gratuito,Trial,Colegio,200047672,Plan Gratuito,Altas
1,202406,Salesiano Enrique Benitez,2024-06-18 20:58:25.0,anual,Privado,Gratuito,Trial,Colegio,200047769,Plan Gratuito,Altas
1,202401,Enrique Rebsamen,2024-01-18 23:03:15.0,anual,Privado,Gratuito,Trial,Colegio,200047813,Plan Gratuito,Altas
1,202404,"CINEMA | Escuela de Cinematografía y Medios Audiovisuales ",2024-04-26 19:36:28.0,anual,Privado,Gratuito,Trial,Instituto,200048136,Plan Gratuito,Altas
1,202403,Escuela De Especialidades Para Contadores Profesionales,2024-03-05 18:40:35.0,anual,Privado,Gratuito,Trial,Instituto,200048371,Plan Gratuito,Altas
1,202307,Escuela De Medicina Alternativa,2023-07-04 04:59:38.0,anual,Privado,Gratuito,Trial,Instituto,200048511,Plan Gratuito,Altas
1,202404,ESTANCIA INFANTIL CAPULLITOS,2024-04-26 21:41:21.0,anual,Privado,Gratuito,Trial,Preescolar,200049730,Plan Gratuito,Altas
1,202408,Navojoa,2024-08-13 22:50:40.0,anual,Privado,Gratuito,Trial,Preescolar,200049818,Plan Gratuito,Altas
1,202405,Little Stars,2024-05-20 19:24:19.0,anual,Privado,Gratuito,Trial,Preescolar,200050010,Plan Gratuito,Altas
1,202310,"Fray Servando, A. C.",2023-10-05 15:48:18.0,anual,Privado,Gratuito,Trial,Colegio,200051362,Plan Gratuito,Altas
1,202405,Giner School,2024-05-06 20:04:14.0,anual,Privado,Gratuito,Trial,Colegio,200051708,Plan Gratuito,Altas
1,202310,Anglo De La Laguna,2023-10-26 19:07:55.0,anual,Privado,Gratuito,Trial,Colegio,200053581,Plan Gratuito,Altas
1,202406,"Tiny Planet Zona Esmeralda ",2024-06-11 20:02:15.0,anual,Privado,Gratuito,Trial,Colegio,200053698,Plan Gratuito,Altas
-1,202407,Instituto Campestre De Ciencias Y Artes De Metepec,2024-07-05 21:29:17.0,anual,Privado,Gratuito,Trial,Colegio,200054225,Plan Gratuito,Bajas
1,202406,Instituto Campestre De Ciencias Y Artes De Metepec,2024-06-27 02:26:13.0,anual,Privado,Gratuito,Trial,Colegio,200054225,Plan Gratuito,Altas
1,202405,La Salle Cancun,2024-05-09 15:26:22.0,anual,Privado,Gratuito,Trial,Colegio,200054242,Plan Gratuito,Altas
1,202405,"Instituto Cumbres Veracruz ",2024-05-07 19:25:51.0,anual,Privado,Gratuito,Trial,Colegio,200054931,Plan Gratuito,Altas
1,202408,Da Vinci,2024-08-14 19:03:50.0,anual,Privado,Gratuito,Trial,Preescolar,200054950,Plan Gratuito,Altas
1,202408,Emprendedores Universa,2024-08-28 21:00:49.0,anual,Privado,Gratuito,Trial,Instituto,200055834,Plan Gratuito,Altas
1,202308,Edinburgh,2023-08-31 16:42:33.0,anual,Privado,Gratuito,Trial,Colegio,200056797,Plan Gratuito,Altas
1,202405,Freinet,2024-05-22 23:17:09.0,anual,Privado,Gratuito,Trial,Colegio,200057570,Plan Gratuito,Altas
1,202406,GABRIELA MISTRAL,2024-06-28 05:14:16.0,anual,Privado,Gratuito,Trial,Preescolar,200057607,Plan Gratuito,Altas
1,202402,"Eduser Reforma A.C. ""Instituto Gandhi""",2024-02-23 15:46:16.0,anual,Privado,Gratuito,Trial,Colegio,200057636,Plan Gratuito,Altas
1,202401,San José - Español Primaria,2024-01-19 00:06:13.0,anual,Privado,Gratuito,Trial,Colegio,200058355,Plan Gratuito,Altas
1,202401,La Salle Del Sureste,2024-01-22 20:31:00.0,anual,Privado,Gratuito,Trial,Colegio,200058548,Plan Gratuito,Altas
1,202402,Nezaldi,2024-02-23 19:05:28.0,anual,Privado,Gratuito,Trial,Colegio,200059630,Plan Gratuito,Altas
1,202405,Instituto Oriente Queretaro,2024-05-28 19:00:15.0,anual,Privado,Gratuito,Trial,Colegio,200059768,Plan Gratuito,Altas
-1,202407,Panamericano,2024-07-27 06:40:35.0,anual,Privado,Gratuito,Cliente,Colegio,200059843,Plan Gratuito,Bajas
1,202407,Panamericano,2024-07-23 20:25:17.0,anual,Privado,Gratuito,Cliente,Colegio,200059843,Plan Gratuito,Altas
-1,202407,Instituto Pedagógico Infantil Bilingüe IPI,2024-07-16 21:24:08.0,anual,Privado,Gratuito,Cliente,Colegio,200059963,Plan Gratuito,Bajas
1,202407,Instituto Pedagógico Infantil Bilingüe IPI,2024-07-15 17:38:03.0,anual,Privado,Gratuito,Cliente,Colegio,200059963,Plan Gratuito,Altas
1,202407,Piaget,2024-07-19 19:00:40.0,anual,Privado,Gratuito,Trial,Colegio,200060204,Plan Gratuito,Altas
1,202403,Instituto Profesional de Arte y Diseño,2024-03-07 19:48:47.0,anual,Privado,Gratuito,Trial,Instituto,200060320,Plan Gratuito,Altas
1,202404,Rebsamen,2024-04-08 21:48:36.0,anual,Privado,Gratuito,Trial,Colegio,200060476,Plan Gratuito,Altas
-1,202402,Instituto Sanford Torreón,2024-02-19 20:03:01.0,anual,Privado,Gratuito,Cliente,Colegio,200060717,Plan Gratuito,Bajas
1,202402,Instituto Sanford Torreón,2024-02-15 01:47:31.0,anual,Privado,Gratuito,Cliente,Colegio,200060717,Plan Gratuito,Altas
1,202308,Instituto Zacatecano de Estudios Universitarios,2023-08-03 19:43:11.0,anual,Privado,Gratuito,Trial,Instituto,200062049,Plan Gratuito,Altas
1,202307,Interamerican School,2023-07-25 16:08:17.0,anual,Privado,Gratuito,Trial,Colegio,200062110,Plan Gratuito,Altas
1,202405," Isaac Newton Bilingüe Primaria y Preescolar",2024-05-28 22:23:45.0,anual,Privado,Gratuito,Trial,Colegio,200062231,Plan Gratuito,Altas
1,202407,Julio Verne,2024-07-31 19:51:43.0,anual,Privado,Gratuito,Trial,Colegio,200064513,Plan Gratuito,Altas
1,202406,Kindersol,2024-06-17 17:53:38.0,anual,Privado,Gratuito,Trial,Preescolar,200064868,Plan Gratuito,Altas
1,202405,La Escuela de Lancaster,2024-05-21 16:58:48.0,anual,Privado,Gratuito,Trial,Colegio,200065038,Plan Gratuito,Altas
1,202310,"Liceo ",2023-10-17 02:22:42.0,anual,Privado,Gratuito,Trial,Colegio,200065694,Plan Gratuito,Altas
1,202311,Instituto Herbart,2023-11-14 19:14:11.0,anual,Privado,Gratuito,Trial,Colegio,200065793,Plan Gratuito,Altas
1,202310,Liceo Integral De Fomento Educativo (Life),2023-10-26 02:17:29.0,anual,Privado,Gratuito,Trial,Preescolar,200065833,Plan Gratuito,Altas
1,202403,Liceo Intercultural Mexicano,2024-03-03 07:01:11.0,anual,Privado,Gratuito,Trial,Colegio,200065834,Plan Gratuito,Altas
1,202407,Liceo Michoacano,2024-07-15 18:05:13.0,anual,Privado,Gratuito,Trial,Instituto,200065898,Plan Gratuito,Altas
1,202404,Mundo Mágico,2024-04-24 19:15:46.0,anual,Privado,Gratuito,Trial,Preescolar,200065930,Plan Gratuito,Altas
1,202402,Liceo Thezia,2024-02-22 20:59:31.0,anual,Privado,Gratuito,Trial,Colegio,200065961,Plan Gratuito,Altas
1,202404,Montessori Chiaravalle,2024-04-30 19:14:26.0,anual,Privado,Gratuito,Trial,Colegio,200067690,Plan Gratuito,Altas
1,202403,Montessori Stoppani,2024-03-12 20:16:17.0,anual,Privado,Gratuito,Trial,Colegio,200067745,Plan Gratuito,Altas
1,202402,Montessori Paolini,2024-02-23 03:32:14.0,anual,Privado,Gratuito,Trial,Colegio,200067746,Plan Gratuito,Altas
1,202403,"Fenix Nuevo ",2024-03-25 17:34:16.0,anual,Privado,Gratuito,Trial,Colegio,200068370,Plan Gratuito,Altas
1,202401,Nuevo Milenio,2024-01-24 23:34:25.0,anual,Privado,Gratuito,Trial,Colegio,200068501,Plan Gratuito,Altas
1,202407,ICFE,2024-07-27 00:53:18.0,anual,Privado,Gratuito,Trial,Instituto,200069968,Plan Gratuito,Altas
1,202403,Roberto Montes De Oca,2024-03-18 23:49:55.0,anual,Privado,Gratuito,Trial,Colegio,200070966,Plan Gratuito,Altas
1,202312,Centro Escolar Rochavi Altabrisa,2023-12-19 04:48:32.0,anual,Privado,Gratuito,Trial,Colegio,200070980,Plan Gratuito,Altas
1,202402,Pedro De Gante,2024-02-16 15:35:02.0,anual,Privado,Gratuito,Trial,Colegio,200071493,Plan Gratuito,Altas
-1,202403,San Sebastián,2024-03-04 19:12:17.0,anual,Privado,Gratuito,Cliente,Colegio,200071532,Plan Gratuito,Bajas
1,202402,San Sebastián,2024-02-23 20:17:27.0,anual,Privado,Gratuito,Cliente,Colegio,200071532,Plan Gratuito,Altas
1,202406,Simón Bolivar,2024-06-17 14:54:48.0,anual,Privado,Gratuito,Trial,Colegio,200071754,Plan Gratuito,Altas
